AHPS NAME,PROXIMITY,RIVER WATERBODY NAME,NWSLI,LOCATION TYPE,USGS ID,LATITUDE,LONGITUDE,WFO,RFC,STATE,HUC2,INUNDATION,ELEVATION,ACTION STAGE,FLOOD STAGE,MODERATE FLOOD STAGE,MAJOR FLOOD STAGE,FLOOD STAGE UNIT,COEID,HYDROGRAPH,PEDTS,IN SERVICE,LOW WATER THRESHOLD VALUE / UNITS,FORECAST STATUS,DISPLAY LOW WATER IMPACTS,LOW FLOW DISPLAY,GIVE DATA ATTRIBUTION,ATTRIBUTION WORDING,FEMA WMS,PROBABILISTIC SITE,WEEKLY CHANCE PROBABILISTIC ENABLED,SHORT-TERM PROBABILISTIC ENABLED,CHANCE OF EXCEEDING PROBABILISTIC ENABLED,NRLDB VERTICAL DATUM NAME,NRLDB VERTICAL DATUM,NAVD88 VERTICAL DATUM,NGVD29 VERTICAL DATUM,MSL VERTICAL DATUM,OTHER VERTICAL DATUM,COUNTY,TIME ZONE
Aberdeen Lock and Dam,at,Tombigbee River,ABEM6,River Stage/Flow Location,US02437100,33.830000,-88.52,MEG,SERFC,MS,South Atlantic-Gulf Region,No,150 ft,187,188,190,192,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=meg&gage=abem6,HTIRG,Yes,-9999 Feet,Year-round,No,No,Yes,USGS and USACE,No,Yes,Yes,No,Yes,NGVD 1929,150,,150 ft,,,,America/Chicago
Abilene,near,Smoky Hill River,ABIK1,River Stage/Flow Location,,38.906389,-97.284167,TOP,MBRFC,KS,Missouri Region,No,1124.12 ft,22,27,30,33,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=top&gage=abik1,HGIRZ,Yes,-9999 Feet,High Water,No,No,No,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,1124.12,,1124.12 ft,,,Dickinson,America/Chicago
Abiquiu Dam,at,Rio Chama,ABIN5,River Stage/Flow Location,US08286900,36.240000,-106.428889,ABQ,WGRFC,NM,Rio Grande Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=abq&gage=abin5,HPIRG,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,NAD83,,,,,,Rio Arriba,America/Denver
Lake Abilene,at,West Central Texas Lakes,ABIT2,River Stage/Flow Location,US08083270,32.234444,-99.888611,SJT,WGRFC,TX,Texas-Gulf Region,No,,2012.3,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=abit2,HPIRG,Yes,,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,0,,,,0 ft,,America/Chicago
Bayou Manchac at Alligator Bayou near Kleinpeter,at,Amite River Basin,ABKL1,River Stage/Flow Location,US07378746,30.321111,-91.020833,LIX,LMRFC,LA,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=abkl1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,0,,,,,Ascension Parish,America/Chicago
Ambler,at,Kobuk River,ABLA2,River Stage/Flow Location,US15744000,67.086944,-157.8475,PAFG3,APRFC,AK,Alaska Region,No,30 ft,41,42.5,45,49,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pafg3&gage=abla2,HGIRV,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,30,,30 ft,,,,America/Anchorage
Albany,at,Flint River (GA),ABNG1,River Stage/Flow Location,US02352500,31.594167,-84.144167,TAE,SERFC,GA,South Atlantic-Gulf Region,Yes,150.03 ft,16,26,31,42,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=abng1,HGIRG,Yes,2 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,150.03,,150.03 ft,,,Dougherty,America/New_York
Albany,,,ABNO1,Precipitation Location,,39.251778,-82.186889,RLX,OHRFC,OH,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rlx&gage=abno1,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Athens,America/New_York
Missoula,above,Clark Fork River,ABOM8,River Stage/Flow Location,US12340500,46.877222,-113.931389,MSO,NWRFC,MT,Pacific Northwest Region,No,3198.3 ft,7,7.5,11,13,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mso&gage=abom8,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD 1929,3198.3,,3198.3 ft,,,,America/Denver
Pacheco Reservoir,above,Pacheco Creek,ABPC1,River Stage/Flow Location,,37.086700,-121.2876,MTR,CNRFC,CA,California Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=abpc1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,Santa Clara Valley Water District,No,No,N/A,N/A,N/A,,,,,,,Santa Clara,America/Los_Angeles
Audubon Park,near,South Fork Beargrass Creek,ABPK2,River Stage/Flow Location,US03292500,38.211389,-85.7025,LMK,OHRFC,KY,Ohio Region,No,448.60,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lmk&gage=abpk2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,448.6,,448.60,,,Jefferson,America/New_York
Armistead Boothe Park,at,Backlick Run,ABPV2,Stage/Flow and Precipitation Location,,38.803889,-77.128333,LWX,MARFC,VA,Mid Atlantic Region,No,,7,9,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=abpv2,HGIRR,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,0,,,Alexandria city,America/New_York
Albuquerque,at,Rio Grande,ABQN5,River Stage/Flow Location,US08330000,35.089167,-106.680556,ABQ,WGRFC,NM,Rio Grande Region,No,4946.16 ft,8,8,10,12.5,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=abq&gage=abqn5,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,4946.16,,4946.16 ft,,,Bernalillo,America/Denver
Auburn,near,Little Nemaha River,ABRN1,River Stage/Flow Location,US06811500,40.392805,-95.81268,OAX,MBRFC,NE,Missouri Region,No,889.87 ft,20,22,23,27,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=oax&gage=abrn1,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,the USGS (06811500),Yes,Yes,Yes,Yes,Yes,NGVD29,889.87,,889.87 ft,,,Nemaha,America/Chicago
Abercrombie,near,Wild Rice River (ND),ABRN8,River Stage/Flow Location,US05053000,46.470556,-96.781944,FGF,NCRFC,ND,Souris-Red-Rainy Region,No,907.94 ft,7,10,12,18,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fgf&gage=abrn8,HGIRP,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,No,Yes,NAVD88,908.88,908.88 ft,907.94 ft,,,Richland,America/Chicago
Albright,at,Cheat River,ABRW2,River Stage/Flow Location,US03070260,39.494722,-79.644722,PBZ,OHRFC,WV,Ohio Region,No,1201.45,24,27,30,32,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=abrw2,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,1173.7,1173.70,1201.45,,1202 ft,Preston,America/New_York
Absecon,at,Absecon Creek,ABSN4,River Stage/Flow Location,US01410500,39.430278,-74.520556,PHI,MARFC,NJ,Mid Atlantic Region,No,0.00,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=absn4,HPIRG,Yes,-9999 Feet,Data Point,Yes,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,0,,0.00,,,Atlantic,America/New_York
Abington,at,East Fork Whitewater River,ABTI3,River Stage/Flow Location,US03275600,39.732548,-84.959684,ILN,OHRFC,IN,Ohio Region,No,NULL,11,14,18,22,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=abti3,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,791,,NULL,,,Wayne,America/New_York
Abbot Village,at,Kingsbury Stream,ABTM1,River Stage/Flow Location,US01031450,45.184444,-69.452222,CAR,NERFC,ME,New England Region,No,423,15,16,17,19,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=car&gage=abtm1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,423,,423,,,Piscataquis,America/New_York
Loop 360,at,Barton Creek,ABTT2,River Stage/Flow Location,US08155300,30.244444,-97.801944,EWX,WGRFC,TX,Texas-Gulf Region,No,510.32 ft,8,8,11,12,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=abtt2,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,510.32,,510.32 ft,,,,America/Chicago
Loop 360,above,Bull Creek,ABUT2,River Stage/Flow Location,US08154700,30.371944,-97.784444,EWX,WGRFC,TX,Texas-Gulf Region,No,,5,5,5,9,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=abut2,HGIRG,Yes,0 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,535.05,535.05 ft,,,,Travis,America/Chicago
Fort Griffin,near,Clear Fork Brazos River,ABYT2,River Stage/Flow Location,US08085500,32.932978,-99.215389,SJT,WGRFC,TX,Texas-Gulf Region,No,1164.09 ft,31,35,45,49,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=abyt2,HGIRG,Yes,,High Water,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD 29,1164.09,,1164.09 ft,,,,America/Chicago
Asotin,at,Asotin Creek,ACAW1,River Stage/Flow Location,US13335050,46.340833,-117.055,OTX,NWRFC,WA,Pacific Northwest Region,No,742.57,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=otx&gage=acaw1,HGIRG,Yes,1 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD 1929,742.57,,742.57,,,Asotin,America/Los_Angeles
Div Dam near Sunol,below,Alameda Creek,ACBC1,River Stage/Flow Location,US11172955,37.498611,-121.779444,MTR,CNRFC,CA,California Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=acbc1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD 1988,835.55,835.55 ft,,,,Alameda,America/Los_Angeles
Arcade,near,Middle Oconee River,ACDG1,Stage/Flow and Precipitation Location,US02217475,34.031667,-83.563333,FFC,SERFC,GA,South Atlantic-Gulf Region,No,,15,16,21,27,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=acdg1,HGIRG,Yes,0 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,656.4,,656.52 ft,,,Jackson,America/New_York
Arcadia Lake,at,Deep Fork River,ACDO2,River Stage/Flow Location,US07242340,35.648390,-97.36337,OUN,ABRFC,OK,Arkansas-White-Red Region,No,0.00,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=acdo2,HPIRG,Yes,-9999 Feet,Data Point,No,No,Yes,U.S. Army Corps of Engineers,Yes,No,N/A,N/A,N/A,NGVD29,0,,0.00,,,Oklahoma,America/Chicago
Almaden Reservoir,at,Almaden-Calero Canal,ACEC1,River Stage/Flow Location,,37.165600,-121.8281,MTR,CNRFC,CA,California Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=acec1,HGIRG,No,-9999 Feet,No routine,No,No,Yes,SCVWD,No,No,N/A,N/A,N/A,,,,,,,Santa Clara,America/Los_Angeles
Alice,at,San Diego Creek,ACET2,River Stage/Flow Location,US08211800,27.766639,-98.075556,CRP,WGRFC,TX,Texas-Gulf Region,No,,11,11,13,15,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=crp&gage=acet2,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,192,192.0 ft,,,,Jim Wells,America/Chicago
Edisto Beach (IN MLLW),near,St. Pierre Creek,ACFS1,River Stage/Flow Location,,32.528000,-80.36144,CHS,SERFC,SC,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=chs&gage=acfs1,HMIRG,Yes,-9999 Feet,Data Point,No,No,Yes,NERRS,Yes,No,N/A,N/A,N/A,MLLW,0,,,,,Charleston,America/New_York
Ashland City,at,Cumberland River,ACIT1,River Stage/Flow Location,US03431790,36.270556,-87.076111,OHX,OHRFC,TN,Ohio Region,No,,24,28,32,36,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ohx&gage=acit1,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,,367.04,,,,,,America/Chicago
Darlington,near,Antelope Creek (ID),ACKI1,River Stage/Flow Location,US13131000,43.733330,-113.51472,PIH,NWRFC,ID,Pacific Northwest Region,No,5840,5.5,6,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pih&gage=acki1,HGIRG,Yes,0 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,5873.98,,5840,,,Custer,America/Denver
Longview,near,Abernathy Creek,ACLW1,River Stage/Flow Location,,46.195278,-123.165556,PQR,NWRFC,WA,Pacific Northwest Region,No,5,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pqr&gage=aclw1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,WA Department of Ecology,Yes,No,N/A,N/A,N/A,,,,5,,,Cowlitz,America/Los_Angeles
,other,Arroyo Corte Madera del Presidio,ACMC1,Stage/Flow and Precipitation Location,,37.897500,-122.536111,MTR,CNRFC,CA,California Region,No,,6,8,10,12,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=acmc1,HGIRR,Yes,-9999 Feet,No routine,No,No,Yes,County of Marin,No,No,N/A,N/A,N/A,NGVD 1929,1.85,,1.85 ft,,,Marin,America/Los_Angeles
Acme,at,Black River,ACML1,River Stage/Flow Location,,31.267778,-91.830833,JAN,LMRFC,LA,Lower Mississippi Region,No,0.68 ft,47,48,52,58,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jan&gage=acml1,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,U.S. Army Corps of Engineers,No,Yes,Yes,Yes,Yes,NGVD 1929,0.68,,0.68 ft,,,,America/Chicago
Acme,below,Pecos River,ACMN5,River Stage/Flow Location,US08386000,33.571856,-104.373603,ABQ,WGRFC,NM,Rio Grande Region,No,3507 ft,12,13,14.5,16,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=abq&gage=acmn5,HGIRG,Yes,-9999 Feet,High Water,Yes,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,3510,,3507 ft,,,Chaves,America/Denver
C.W. Bill Young Lock and Dam,at,Allegheny River,ACMP1,River Stage/Flow Location,US03049640,40.536111,-79.815,PBZ,OHRFC,PA,Ohio Region,No,725.52,15,17,20,23,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=acmp1,HPIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Army Corps of Engineers,Yes,Yes,Yes,Yes,Yes,NGVD29,725.52,725.80,725.52,,740,Allegheny,America/New_York
Mazama,near,Andrews Creek,ACMW1,River Stage/Flow Location,US12447390,48.823056,-120.144722,OTX,NWRFC,WA,Pacific Northwest Region,No,4300,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=otx&gage=acmw1,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,4300,,4300,,,Okanogan,America/Los_Angeles
Hyattsville,near,Northwest Branch Anacostia River,ACOM2,Stage/Flow and Precipitation Location,US01651000,38.952222,-76.966111,LWX,MARFC,MD,Mid Atlantic Region,No,,8,9.5,13,18,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=acom2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,16.35,,,,,Prince George's,America/New_York
Calero Reservoir,at,Almaden-Calero Canal,ACQC1,River Stage/Flow Location,,37.180800,-121.7916,MTR,CNRFC,CA,California Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=acqc1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,Santa Clara Valley Water District,No,No,N/A,N/A,N/A,,,,,,,Santa Clara,America/Los_Angeles
Alum Creek Lake,at,Alum Creek,ACRO1,River Stage/Flow Location,US03228804,40.184167,-82.963889,ILN,OHRFC,OH,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=acro1,HPIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,NULL,Franklin,America/New_York
Redland,near,Abernethy Creek,ACRO3,River Stage/Flow Location,,45.326389,-122.508889,PQR,NWRFC,OR,Pacific Northwest Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pqr&gage=acro3,HGIRZ,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,150,,,,Clackamas,America/Los_Angeles
Austin,at,Colorado River (TX),ACRT2,River Stage/Flow Location,US08158000,30.246111,-97.68,EWX,WGRFC,TX,Texas-Gulf Region,No,,25,33,38,42,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=acrt2,HGIRZ,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD 88,391.96,391.96,,,,,America/Chicago
Alexandria,at,Cameron Run,ACRV2,River Stage/Flow Location,,38.806389,-77.11,LWX,MARFC,VA,Mid Atlantic Region,No,,6,9.5,11,13,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=acrv2,HGIRG,No,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,22.5,,,,,Alexandria city,America/New_York
Mouth,at,Alpowa Creek,ACRW1,River Stage/Flow Location,,46.412222,-117.213333,OTX,NWRFC,WA,Pacific Northwest Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=otx&gage=acrw1,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,WA Department of Ecology,No,No,N/A,N/A,N/A,,,,,,760,Asotin,America/Los_Angeles
Sunol,near,San Antonio Creek,ACSC1,River Stage/Flow Location,US11174000,37.577434,-121.857734,MTR,CNRFC,CA,California Region,No,271.56 ft,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=acsc1,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD 1929,271.56,,271.56 ft,,,Alameda,America/Los_Angeles
Anthracite Creek Above Mouth nr Somerset,above,Gunnison River,ACSC2,River Stage/Flow Location,US09132095,38.937200,-107.3583,GJT,CBRFC,CO,Upper Colorado Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=gjt&gage=acsc2,HGIRG,Yes,-9999 Feet,Year-round,No,No,No,US Geological Survey,No,Yes,Yes,Yes,Yes,,,,,,,Gunnison,America/Denver
Starke,at,Alligator Creek,ACSF1,River Stage/Flow Location,,29.936944,-82.115278,JAX,SERFC,FL,South Atlantic-Gulf Region,No,0.88,141,144,146,148,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=acsf1,HGIRP,Yes,135 Feet,Data Point,No,No,Yes,SRWMD,Yes,No,N/A,N/A,N/A,,0,0,0.88,,,Bradford,America/New_York
Ashland City,near,Sycamore Creek,ACST1,River Stage/Flow Location,US03431800,36.320000,-87.051111,OHX,OHRFC,TN,Ohio Region,No,,10,14,17,20,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ohx&gage=acst1,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Army Corps of Engineers,Yes,No,N/A,N/A,N/A,NAVD88,411.87,,,,,,America/Chicago
Acton,at,Buck Creek (IN),ACTI3,River Stage/Flow Location,US03361850,39.656944,-85.9575,IND,OHRFC,IN,Ohio Region,No,757 ft,7,9,14,18,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=acti3,HGIRG,Yes,2.2 CFS,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,756.76,756.76 ft,757 ft,,,Marion,America/New_York
Allen Center,,,ACTO1,Precipitation Location,,40.240556,-83.476944,ILN,OHRFC,OH,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=acto1,,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Union,America/New_York
Waco Lake,at,North Texas Lakes,ACTT2,River Stage/Flow Location,US08095550,31.579444,-97.1975,FWD,WGRFC,TX,Texas-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fwd&gage=actt2,HPIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,,0,,,,0,,America/Chicago
